SONG_TITLE,ARTIST_NAME,SONG_ID,Concept_Love,Concept_Heartbreak,Concept_Partying,Concept_Drugs,Concept_Sex,Concept_Violence,Concept_Self-Empowerment,Concept_Success,Concept_Hope,Concept_Celebration,Concept_Coming_Of_Age,Concept_Loneliness,Concept_Struggle,Concept_Friendship,Concept_Traveling,ConceptUncertainty_Love,ConceptUncertainty_Heartbreak,ConceptUncertainty_Partying,ConceptUncertainty_Drugs,ConceptUncertainty_Sex,ConceptUncertainty_Violence,ConceptUncertainty_Self-Empowerment,ConceptUncertainty_Success,ConceptUncertainty_Hope,ConceptUncertainty_Celebration,ConceptUncertainty_Coming_Of_Age,ConceptUncertainty_Loneliness,ConceptUncertainty_Struggle,ConceptUncertainty_Friendship,ConceptUncertainty_Traveling
Feel So Close,Calvin Harris,lyrics_full_02207,8.667397,3.2491612,3.7352717,0.019297386,3.8332179,0.63418615,0.7948103,0.094355255,1.1381744,0.4601267,1.5189357,3.97651,0.40211445,1.2936237,2.045863,0.9516668,2.594371,1.6048731,0.0077165575,1.7773736,0.80576277,0.64062065,0.061228044,0.99629515,0.48498064,1.1334363,2.3341165,0.26099822,0.68593854,1.8663526
Someone like You,Adele,lyrics_full_02208,9.579777,9.620846,0.124421924,0.115215294,0.28963712,1.919703,0.99845123,0.025756411,4.98904,0.1496144,3.4975119,6.078211,4.527565,0.048969932,0.40143704,0.14561376,0.09033126,0.08575573,0.05867412,0.25859028,1.165786,0.41453218,0.024848267,1.0731342,0.14895771,1.6831164,1.8411325,1.0095273,0.020602979,0.34863228
Scream,Usher,lyrics_full_02209,2.118813,1.5492398,3.6637547,3.627633,2.996864,2.8990555,9.721049,7.2414923,6.876479,6.066243,8.378253,1.0606288,8.871071,2.283794,3.765555,1.9548869,1.8307312,2.2157598,1.5318404,1.3128649,2.101379,0.25653037,2.7980962,1.4536561,1.1138272,1.237132,1.4073603,0.9963076,1.5971189,2.7809727
Rack City,Tyga,lyrics_full_02210,5.5850883,4.8093786,1.2928596,9.850546,4.64794,9.916213,2.239865,2.6257384,2.510129,1.1621245,6.253795,7.7758417,6.9451675,4.505084,0.6039622,1.2738764,2.2620475,0.9628179,0.0844036,1.8296229,0.1413981,1.1577891,1.9533858,1.1799145,1.0806876,1.1586318,1.0896422,1.6831043,0.93472016,0.28466526
Domino,Jessie J,lyrics_full_02211,7.118024,9.677509,0.10709935,0.024074892,0.070243336,0.39027745,1.1648282,0.07532475,5.017625,0.072077155,4.858759,9.213475,6.036948,4.7348423,0.49649358,1.9363337,0.3206974,0.03914114,0.025355136,0.056184486,0.24242604,0.46298906,0.03885742,1.7169461,0.040672243,3.4773614,0.79029685,1.8580877,2.6852677,0.7622956
Gangnam Style,Psy,lyrics_full_02212,8.5356655,9.230604,0.06266919,0.8397305,0.19335952,0.66813636,0.58855426,1.0814605,3.8312545,0.042464852,0.1463064,4.9035563,7.447937,0.14411518,0.16650188,0.914379,1.0051949,0.04891134,0.4706976,0.07057787,0.75473815,0.4533167,1.173615,0.6060975,0.01683001,0.080642596,2.9536316,0.71901983,0.105404414,0.16004607
International Love,Pitbull,lyrics_full_02213,6.8013926,5.9155636,0.14497618,0.016962668,2.878271,0.4676089,0.80348754,0.77028465,3.0635734,0.2724065,0.19744442,0.53555405,0.08769337,0.75779116,0.030772977,1.8282126,1.7426914,0.21894889,0.016760726,3.0668564,0.24658598,0.51566505,1.0282848,1.7387171,0.26447538,0.10131654,0.51207197,0.048153915,0.63377315,0.026775206
Home,Phillip Phillips,lyrics_full_02214,9.717928,8.25872,2.5279877,4.342621,5.703061,0.034422934,1.9208279,0.06641008,2.9883256,0.2859788,3.8100743,6.810869,5.8467126,2.2809625,0.25101292,0.1177858,1.1286583,1.2459614,2.4897199,2.3748634,0.029570192,0.92114353,0.043315977,1.9183357,0.29123563,1.6400485,1.2957864,1.9967486,1.4558257,0.29786798
Without You,David Guetta,lyrics_full_02215,8.859913,8.489847,1.5401089,4.3270235,5.9321985,0.5466182,0.590027,2.147342,5.7304335,1.6580489,1.699238,6.39427,8.243958,4.843774,0.8344759,1.0654454,1.6492397,2.5292616,2.3750098,3.2322483,0.5819197,0.33387125,2.948677,2.0466776,2.5288236,1.0677345,2.4872189,0.7767787,2.3253968,0.5329859
Ass Back Home,Gym Class Heroes,lyrics_full_02216,2.7012138,1.41888,7.4713984,1.852071,1.8675103,2.2265017,6.9251013,6.087544,6.1270123,4.8203135,2.4735599,0.58927333,4.555629,4.228382,0.5709533,0.6137682,1.2765629,2.1798248,1.8436072,2.6852489,2.8459384,2.1271346,2.845605,0.9879851,3.1163688,1.0967877,0.4893946,2.6407743,2.396442,0.6684225
