song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Best Song Ever,One Direction,117.45383522727273,-35.4462,66.0574,-10.2778,14.4872,4.5533,5.4071,-2.7788,4.1099,-1.9318,5.3721,-2.5362,3.289,-2.2642,0.412,0.5193,0.3727,0.4744,0.3228,0.3905,0.3528,0.3678,0.5166,0.3511,0.3705,0.2933,0.2708,0.3409,0.2531,0.3536,0.2251,0.2998,0.2785,0.2559,0.3464,0.2514,0.2953,0.242,2961.2021
The A Team,Ed Sheeran,86.1328125,-133.3503,106.702,27.7064,23.2657,18.8458,6.646,-1.042,10.9529,-10.4268,0.8014,-4.556,-3.2744,-5.2689,0.2588,0.4632,0.3149,0.2878,0.4118,0.2738,0.2132,0.1936,0.3817,0.5137,0.2958,0.2829,0.2141,0.3514,0.305,0.2453,0.3459,0.2372,0.273,0.2065,0.2786,0.3745,0.2341,0.2924,1972.1936
Carry On,Fun,103.359375,-90.2649,110.7445,-9.0502,24.7259,6.6379,6.4312,4.2092,4.2276,-1.6907,5.6643,-3.2985,4.8958,-2.4242,0.5019,0.3034,0.316,0.2525,0.3747,0.5803,0.3502,0.3536,0.2819,0.4142,0.4324,0.336,0.3486,0.225,0.2964,0.2179,0.2512,0.3496,0.2282,0.3048,0.231,0.2937,0.3313,0.2432,1856.7229
Highway Don't Care,Tim McGraw featuring Taylor Swift and Keith Urban,161.4990234375,-178.211,100.4419,7.1843,29.0811,7.2014,8.8895,4.7437,6.3495,5.2082,3.0405,-0.3351,2.3923,-1.2561,0.2954,0.3893,0.4916,0.3507,0.4324,0.334,0.4615,0.3627,0.3613,0.5193,0.3491,0.3542,0.2547,0.2693,0.333,0.2431,0.3359,0.2444,0.3414,0.2923,0.251,0.317,0.2473,0.3155,2029.431
That's My Kind of Night,Luke Bryan,112.34714673913044,-24.3582,80.6118,-1.6547,28.5616,1.9978,6.0554,-2.0856,11.8116,-2.6901,4.1395,5.9713,1.0699,-0.7936,0.3208,0.2998,0.4085,0.3777,0.5384,0.3324,0.3822,0.3871,0.3554,0.4339,0.3629,0.4749,0.2661,0.2511,0.3157,0.2429,0.3431,0.2298,0.2916,0.3118,0.2633,0.3373,0.2499,0.3216,2526.2331
Swimming Pools (Drank),Kendrick Lamar,73.828125,-103.8779,89.725,22.491,14.2213,17.3957,11.8371,5.4004,12.3624,-0.5463,12.7607,3.8105,3.4102,0.8854,0.509,0.525,0.5261,0.4262,0.4149,0.4331,0.5303,0.5488,0.5697,0.4969,0.4764,0.5373,0.2795,0.2942,0.2935,0.255,0.2732,0.2457,0.2883,0.2584,0.2882,0.2694,0.2593,0.2924,2420.0396
Sure Be Cool If You Did,Blake Shelton,135.99917763157896,-95.1278,99.6614,-9.1556,24.5676,8.3147,6.2316,2.0076,6.4364,-2.6535,3.9682,-1.6502,2.4322,2.4929,0.3327,0.5221,0.2939,0.3477,0.2908,0.3056,0.4834,0.2845,0.2981,0.255,0.4214,0.5262,0.2102,0.3695,0.2085,0.2952,0.2603,0.225,0.323,0.2344,0.2682,0.2247,0.2978,0.3461,2137.0428
#Beautiful,Mariah Carey featuring Miguel,107.666015625,-163.0444,112.3311,-8.6579,13.4994,4.9904,-2.5875,-1.7296,-0.2857,-8.4734,4.9055,-4.6285,-1.7489,-2.9396,0.2878,0.2993,0.2067,0.2891,0.3974,0.2864,0.4105,0.377,0.46,0.3026,0.2643,0.3873,0.254,0.3027,0.2051,0.2455,0.351,0.2281,0.3506,0.2986,0.3598,0.283,0.2441,0.3512,1892.3645
Troublemaker,Olly Murs featuring Flo Rida,107.666015625,-17.0497,57.397,-3.6364,20.1325,4.6077,8.0545,0.5736,10.2353,0.8701,7.3156,0.8513,4.647,3.668,0.5381,0.3406,0.3701,0.4814,0.3928,0.4223,0.3833,0.4929,0.349,0.3453,0.4429,0.426,0.3316,0.2228,0.2554,0.316,0.2705,0.3226,0.2551,0.3111,0.2611,0.2684,0.3044,0.2712,3115.2542
Body Party,Ciara,129.19921875,-106.829,82.3933,24.8344,18.5927,11.0888,8.0096,7.3546,2.2424,2.6182,7.9758,-9.8869,4.8162,-2.8007,0.3661,0.4536,0.4134,0.3842,0.4584,0.3765,0.3801,0.3181,0.3891,0.4453,0.3699,0.5219,0.2459,0.3188,0.3249,0.2834,0.3304,0.278,0.3117,0.2861,0.3109,0.3343,0.2316,0.3455,2465.1163
Adorn,Miguel,89.10290948275862,-104.9725,116.0096,14.91,19.8219,6.4887,6.2695,2.925,8.2727,-1.8765,12.0209,5.4071,2.3205,0.4258,0.26,0.2849,0.4765,0.3871,0.4395,0.457,0.5038,0.5167,0.3769,0.4144,0.3102,0.3054,0.2401,0.2224,0.3511,0.284,0.3377,0.3289,0.3243,0.3427,0.2781,0.3415,0.2561,0.2702,1768.742
Hall of Fame,The Script featuring will.i.am,172.265625,-48.0416,81.3222,-7.9027,16.6453,7.4612,7.3771,-5.2478,3.061,-7.5577,2.5071,-4.4655,0.8034,-3.7845,0.2721,0.2323,0.3776,0.3399,0.3069,0.4874,0.3325,0.4185,0.2889,0.4247,0.6086,0.3189,0.255,0.1743,0.2935,0.2903,0.2065,0.327,0.2216,0.3382,0.227,0.2847,0.3355,0.2086,2593.5487
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,123.046875,-82.9947,70.5203,-3.9409,17.4671,2.3374,7.2261,0.2755,4.0689,-6.3921,5.3043,-0.743,0.5352,-0.5552,0.5028,0.3152,0.3204,0.2651,0.4168,0.4389,0.2879,0.392,0.2873,0.3447,0.2983,0.328,0.3513,0.2367,0.3035,0.229,0.3135,0.3404,0.2169,0.326,0.2299,0.2992,0.2717,0.2427,2813.9893
U.O.E.N.O.,Rocko featuring Future and Rick Ross,63.02400914634146,-57.1058,82.1295,-11.6475,7.4518,3.1818,0.0393,-5.601,5.3638,-8.7652,-0.1666,-2.2823,4.6238,-1.5458,0.3102,0.3861,0.3326,0.3685,0.3078,0.4243,0.43,0.3144,0.343,0.3015,0.4453,0.3423,0.2848,0.3241,0.2767,0.3162,0.2578,0.3091,0.3308,0.2629,0.3265,0.259,0.3445,0.3039,2569.8333
Next to Me,Emeli Sandé,95.703125,-63.6876,90.2666,2.4908,33.1998,9.1611,6.0247,7.2449,3.7671,3.3191,3.2506,-7.7073,4.0966,-1.68,0.5046,0.4549,0.3647,0.3375,0.368,0.3324,0.2723,0.3959,0.3896,0.4213,0.3702,0.3586,0.3541,0.3247,0.284,0.2877,0.2944,0.2904,0.2363,0.3104,0.2889,0.3364,0.2822,0.2602,2065.3738
